SiteName,Syear,Eyear,Source,srfdata_dir,srfdata_name,metdata_dir,metdata_name,IGBP_CLASS,longitude,latitude
FR-Gri,2005,2013,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FR-Gri_2005-2013_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FR-Gri_2005-2013_FLUXNET2015_Met.nc,12,1.9519,48.8442
FR-Hes,1997,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FR-Hes_1997-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FR-Hes_1997-2006_LaThuile_Met.nc,4,7.0655,48.6741
FR-LBr,2003,2008,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FR-LBr_2003-2008_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FR-LBr_2003-2008_FLUXNET2015_Met.nc,1,-0.7692,44.7171
FR-Pue,2000,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,FR-Pue_2000-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,FR-Pue_2000-2014_FLUXNET2015_Met.nc,2,3.5958,43.7413
HU-Bug,2003,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,HU-Bug_2003-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,HU-Bug_2003-2006_LaThuile_Met.nc,10,19.6012,46.6911
IE-Dri,2003,2005,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IE-Dri_2003-2005_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IE-Dri_2003-2005_LaThuile_Met.nc,10,-8.7518,51.9866
IT-Amp,2003,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-Amp_2003-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-Amp_2003-2006_LaThuile_Met.nc,10,13.6051,41.904
IT-Cpz,2001,2008,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-Cpz_2001-2008_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-Cpz_2001-2008_FLUXNET2015_Met.nc,2,12.3761,41.7052
IT-Isp,2013,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-Isp_2013-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-Isp_2013-2014_FLUXNET2015_Met.nc,4,8.6335,45.8126
IT-Lav,2005,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-Lav_2005-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-Lav_2005-2014_FLUXNET2015_Met.nc,1,11.2813,45.9561
IT-MBo,2003,2012,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-MBo_2003-2012_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-MBo_2003-2012_FLUXNET2015_Met.nc,10,11.0458,46.0146
IT-Noe,2004,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-Noe_2004-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-Noe_2004-2014_FLUXNET2015_Met.nc,6,8.1516,40.6061
IT-PT1,2003,2004,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-PT1_2003-2004_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-PT1_2003-2004_FLUXNET2015_Met.nc,4,9.061,45.2008
IT-Ren,2010,2013,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-Ren_2010-2013_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-Ren_2010-2013_FLUXNET2015_Met.nc,1,11.4336,46.5868
IT-SR2,2013,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-SR2_2013-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-SR2_2013-2014_FLUXNET2015_Met.nc,1,10.2909,43.732
IT-SRo,2003,2012,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,IT-SRo_2003-2012_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,IT-SRo_2003-2012_FLUXNET2015_Met.nc,1,10.2844,43.7278
NL-Ca1,2003,2006,LaThuile,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,NL-Ca1_2003-2006_LaThuile_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,NL-Ca1_2003-2006_LaThuile_Met.nc,10,4.927,51.971
NL-Loo,1997,2013,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,NL-Loo_1997-2013_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,NL-Loo_1997-2013_FLUXNET2015_Met.nc,1,5.7435,52.1665
